"","ASV","YSI","rASV","rYSI","means"
"0182921035",2.88376779127647,1764,1519,245,253.446821714103
"0182921044",1.28785512013132,1340,914,426,250.797962850745
"0182921047",0.950653011965426,1187,606,581,248.982863548718
"0182921081",1.85033283717338,1875,1248,627,248.404537041329
"0183421003",1.15490168181108,2118,803,1315,237.207353011388
"0183421016",1.43657774190507,1060,1030,30,259.406216547547
"0183421040",0.396038738392818,1140,151,989,243.244577659807
"0183421041",0.907766308820829,1974,572,1402,234.293892873758
"0183421058",0.77324976316447,1575,441,1134,240.963130554464
"0183921002",0.609430295290418,438,316,122,255.872135859717
"0183921004",1.44463937759879,2077,1035,1042,242.470070603984
"0183921005",0.320695205590221,290,100,190,254.431243283157
"0183921006",1.69904208432219,1734,1195,539,249.530597059009
"0183921008",0.69554839788859,1240,378,862,245.124601027266
"0184921004",0.2080896738659,1381,51,1330,236.887729113684
"0184921008",1.19112974035684,1514,831,683,247.608995868533
"0184921038",1.48732235948499,2174,1063,1111,241.367525460123
"0184921057",0.552014295282715,1640,274,1366,235.815467803722
"0185221005",0.895177599149975,1675,562,1113,241.307007773298
"0185221008",0.922083216142405,1435,584,851,245.290360947901
"0185221009",0.830328090790503,793,493,300,252.695590525419
"0186121005",1.47535086345107,2242,1054,1188,240.049255789171
"0186121018",0.65946107066759,1323,354,969,243.59772037551
"0186121024",0.370632880192319,550,126,424,250.801586945668
"0186121025",0.870821335820101,1271,537,734,246.80252705806
"0186121033",1.27537094667851,2358,906,1452,230.800841988464
"0186721005",0.214060032741952,1511,53,1458,230.239719633969
"0186721009",0.353461793294709,1692,119,1573,209.310361945811
"0186721010",0.620323648723711,1830,322,1508,224.226170386771
"0186721040",1.04722329523481,1566,697,869,245.01201350522
